prediction,sample,delay
left_hand,3839,0.4908579000039026
left_hand,3903,0.27500140003394336
left_hand,3967,0.055676500021945685
left_hand,3967,0.11131140001816675
left_hand,3967,0.26715929998317733
left_hand,4031,0.16023030003998429
left_hand,4095,0.04966329998569563
left_hand,4095,0.18904269998893142
left_hand,4159,0.09978399996180087
left_hand,4159,0.24017039994942024
left_hand,4223,0.18962949997512624
left_hand,4223,0.3464214999694377
left_hand,4287,0.1694687000126578
left_hand,4351,0.08947810000972822
left_hand,4351,0.23428430000785738
left_hand,4415,0.12230960000306368
left_hand,4415,0.272744000016246
left_hand,4479,0.18102850002469495
left_hand,4543,0.05225800001062453
left_hand,4543,0.20478530001128092
left_hand,4607,0.11445480003021657
left_hand,4607,0.25941310002235696
left_hand,4671,0.13201900001149625
left_hand,4671,0.2932901000021957
right_hand,4735,0.1842424999922514
right_hand,4799,0.0774871000321582
right_hand,4799,0.2245713000302203
right_hand,4863,0.11640459997579455
right_hand,4863,0.27487269998528063
right_hand,4927,0.17162290000123903
left_hand,4991,0.06458030000794679
left_hand,4991,0.2131410000147298
left_hand,5055,0.08592189999762923
left_hand,5055,0.24688099999912083
left_hand,5119,0.15214850002666935
left_hand,5183,0.042533100000582635
left_hand,5183,0.20104860002174973
left_hand,5247,0.09589960001176223
left_hand,5247,0.2312085999874398
left_hand,5311,0.11855429998831823
left_hand,5311,0.27633700001752004
left_hand,5375,0.17439810000360012
left_hand,5439,0.0709146000444889
left_hand,5439,0.21318030002294108
right_hand,5503,0.1213133999845013
right_hand,5503,0.270810000016354
right_hand,5567,0.16878609999548644
right_hand,5631,0.06291569996392354
right_hand,5631,0.22040789999300614
left_hand,5695,0.11000600003171712
left_hand,5695,0.28341610002098605
left_hand,5759,0.138287500012666
left_hand,5823,0.04060170002048835
left_hand,5823,0.19568850001087412
left_hand,5887,0.07323249999899417
left_hand,5887,0.21234819997334853
left_hand,5951,0.11941659997683018
left_hand,5951,0.27429560001473874
left_hand,6015,0.17166200000792742
left_hand,6079,0.10917399998288602
left_hand,6079,0.22359239996876568
left_hand,6143,0.09610560000874102
