sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
4223,right_hand,0.1910683959722519,0.8089316487312317,ExponentialSmoothing,0.1910683959722519,0.8089316487312317,0.85,0.75
4287,right_hand,0.22184588015079498,0.7781541347503662,ExponentialSmoothing,0.19568501859903334,0.8043150216341018,0.85,0.75
4351,right_hand,0.23731794953346252,0.7626820802688599,ExponentialSmoothing,0.20192995823919774,0.7980700804293156,0.85,0.75
4415,right_hand,0.237823486328125,0.762176513671875,ExponentialSmoothing,0.20731398745253682,0.7926860454156995,0.85,0.75
4479,right_hand,0.23152554035186768,0.7684744596481323,ExponentialSmoothing,0.21094572038743645,0.7890543075505645,0.85,0.75
4543,right_hand,0.13744013011455536,0.8625599145889282,ExponentialSmoothing,0.19991988184650428,0.800080148606319,0.85,0.75
4607,right_hand,0.1394728571176529,0.8605271577835083,ExponentialSmoothing,0.19085282813717658,0.8091471999828974,0.85,0.75
4671,right_hand,0.09102246910333633,0.9089775085449219,ExponentialSmoothing,0.17587827428210054,0.8241217462672011,0.85,0.75
4735,right_hand,0.07090611755847931,0.9290938377380371,ExponentialSmoothing,0.16013245077355734,0.8398675599878265,0.85,0.75
4799,right_hand,0.07360856235027313,0.9263914227485657,ExponentialSmoothing,0.1471538675100647,0.8528461394019373,0.85,0.75
4863,right_hand,0.10498619079589844,0.8950138092041016,ExponentialSmoothing,0.14082871600293975,0.859171289872262,0.85,0.75
4927,right_hand,0.14595675468444824,0.854043185710907,ExponentialSmoothing,0.14159792180516603,0.8584020742480588,0.85,0.75
4991,right_hand,0.3158157169818878,0.6841842532157898,ExponentialSmoothing,0.16773059108167432,0.8322694010932185,0.85,0.75
5055,right_hand,0.4809693694114685,0.5190306901931763,ExponentialSmoothing,0.21471640783114346,0.785283594458212,0.85,0.75
5119,rest,0.4974476099014282,0.5025523900985718,ExponentialSmoothing,0.2571260881416862,0.742873913804266,0.85,0.75
5183,rest,0.5059269070625305,0.49407312273979187,ExponentialSmoothing,0.29444621097981283,0.7055537951445949,0.85,0.75
5247,rest,0.5840070843696594,0.4159929156303406,ExponentialSmoothing,0.3378803419882898,0.6621196632174569,0.85,0.75
5311,rest,0.6437636017799377,0.35623639822006226,ExponentialSmoothing,0.383762830957037,0.6162371734678477,0.85,0.75
5375,rest,0.3959786593914032,0.6040213704109192,ExponentialSmoothing,0.38559520522219193,0.6144048030093084,0.85,0.75
5439,rest,0.4093266427516937,0.5906733274459839,ExponentialSmoothing,0.38915492085161724,0.6108450816748098,0.85,0.75
5503,rest,0.38650593161582947,0.6134940385818481,ExponentialSmoothing,0.3887575724662491,0.6112424252108656,0.85,0.75
5567,rest,0.44002652168273926,0.5599734783172607,ExponentialSmoothing,0.3964479148487226,0.6035520831768248,0.85,0.75
5631,rest,0.418958842754364,0.5810410976409912,ExponentialSmoothing,0.3998245540345688,0.6001754353464498,0.85,0.75
5695,rest,0.4570762813091278,0.5429237484931946,ExponentialSmoothing,0.40841231312575266,0.5915876823184615,0.85,0.75
5759,rest,0.502097487449646,0.4979025423526764,ExponentialSmoothing,0.4224650892743367,0.5775349113235937,0.85,0.75
5823,rest,0.45122188329696655,0.5487781167030334,ExponentialSmoothing,0.4267786083777312,0.5732213921305096,0.85,0.75
5887,rest,0.36229220032691956,0.6377078294754028,ExponentialSmoothing,0.4171056471701094,0.5828943577322436,0.85,0.75
5951,rest,0.3249131143093109,0.6750868558883667,ExponentialSmoothing,0.4032767672409896,0.5967232324556622,0.85,0.75
6015,rest,0.3871728181838989,0.6128271818161011,ExponentialSmoothing,0.40086117488242595,0.5991388248597279,0.85,0.75
6079,rest,0.3740488886833191,0.6259511709213257,ExponentialSmoothing,0.39683933195255994,0.6031606767689677,0.85,0.75
6143,rest,0.2575802206993103,0.7424197196960449,ExponentialSmoothing,0.37595046526457254,0.6240495332080293,0.85,0.75
6207,rest,0.22753283381462097,0.7724671959877014,ExponentialSmoothing,0.3536878205470798,0.64631218262498,0.85,0.75
6271,rest,0.2390049695968628,0.7609950304031372,ExponentialSmoothing,0.33648539290454726,0.6635146097917035,0.85,0.75
6335,rest,0.21167586743831635,0.7883241772651672,ExponentialSmoothing,0.3177639640846126,0.682236044912723,0.85,0.75
6335,rest,0.21167586743831635,0.7883241772651672,ExponentialSmoothing,0.30185074958766817,0.6981492647655897,0.85,0.75
