sample,prediction,p_left_raw,p_right_raw,name,score_total,mean_score,n_preds
4159,left_hand,0.922581136226654,0.07741885632276535,ScorePonderado,-4.024220392107964,0.8048440784215927,5
4223,left_hand,0.8992146253585815,0.10078539699316025,ScorePonderado,-3.92318657040596,0.784637314081192,5
4287,left_hand,0.8863864541053772,0.1136135384440422,ScorePonderado,-3.89482993632555,0.77896598726511,5
4351,left_hand,0.8949359655380249,0.10506405681371689,ScorePonderado,-3.953775018453598,0.7907550036907196,5
4415,left_hand,0.9153779745101929,0.08462205529212952,ScorePonderado,-4.036992251873016,0.8073984503746032,5
4479,left_hand,0.8597304224967957,0.14026959240436554,ScorePonderado,-3.9112908020615578,0.7822581604123116,5
4543,left_hand,0.730100691318512,0.2698993384838104,ScorePonderado,-3.573062926530838,0.7146125853061676,5
4607,left_hand,0.7806417942047119,0.21935823559761047,ScorePonderado,-3.3615735694766045,0.6723147138953209,5
4671,left_hand,0.5970028042793274,0.4029971659183502,ScorePonderado,-2.7657072991132736,0.5531414598226547,5
4735,left_hand,0.3220653831958771,0.6779346466064453,ScorePonderado,-1.579082116484642,0.4581641286611557,5
4799,left_hand,0.3080505132675171,0.6919494867324829,ScorePonderado,-0.4757223129272461,0.39105175733566283,5
4863,right_hand,0.4545596241950989,0.5454403758049011,ScorePonderado,0.07535979151725769,0.317187637090683,5
4927,right_hand,0.4504143297672272,0.5495856404304504,ScorePonderado,0.7358146607875824,0.22476518750190735,5
4991,right_hand,0.7350543141365051,0.2649456858634949,ScorePonderado,0.4597116708755493,0.27998578548431396,5
5055,left_hand,0.7426877021789551,0.25731226801872253,ScorePonderado,-0.38153302669525146,0.3058870196342468,5
5119,left_hand,0.6135596036911011,0.3864404261112213,ScorePonderado,-0.992551177740097,0.27453106045722964,5
5183,left_hand,0.617243230342865,0.3827567398548126,ScorePonderado,-1.3179184198379517,0.3032522082328796,5
5247,left_hand,0.7504323124885559,0.2495676875114441,ScorePonderado,-1.9179543554782867,0.38359087109565737,5
5311,left_hand,0.8145158290863037,0.18548418581485748,ScorePonderado,-2.0768773704767227,0.41537547409534453,5
5375,left_hand,0.6146507859230042,0.38534921407699585,ScorePonderado,-1.8208035081624985,0.3641607016324997,5
5439,left_hand,0.5324158072471619,0.4675842523574829,ScorePonderado,-1.6585158854722977,0.3317031770944595,5
5503,left_hand,0.37201881408691406,0.6279811859130859,ScorePonderado,-1.1680670231580734,0.33599835336208345,5
5567,left_hand,0.37334173917770386,0.6266582608222961,ScorePonderado,-0.4138858765363693,0.2864887326955795,5
5631,right_hand,0.4676836431026459,0.5323163866996765,ScorePonderado,0.27977851033210754,0.1736089527606964,5
5695,right_hand,0.5483495593070984,0.4516504406929016,ScorePonderado,0.41238096356391907,0.1470884621143341,5
5759,right_hand,0.5103235840797424,0.48967641592025757,ScorePonderado,0.45656535029411316,0.1382515847682953,5
5823,right_hand,0.5909885764122009,0.4090114235877991,ScorePonderado,0.01862582564353943,0.12345454096794128,5
5887,left_hand,0.587437629699707,0.4125623404979706,ScorePonderado,-0.4095659852027893,0.10776629447937011,5
5951,left_hand,0.5754651427268982,0.4245349168777466,ScorePonderado,-0.6251289546489716,0.12502579092979432,5
6015,left_hand,0.64713054895401,0.3528694808483124,ScorePonderado,-0.8226909041404724,0.1645381808280945,5
6079,left_hand,0.5549014806747437,0.44509851932525635,ScorePonderado,-0.9118466973304749,0.18236933946609496,5
6143,left_hand,0.5220575928688049,0.47794243693351746,ScorePonderado,-0.7739847004413605,0.1547969400882721,5
6207,left_hand,0.48645639419555664,0.5135436654090881,ScorePonderado,-0.5720221400260925,0.1252393364906311,5
