prediction,sample,delay
left_hand,3839,0.33903730000020005
right_hand,3903,0.09932849999950122
right_hand,3903,0.19449600000007194
right_hand,3967,0.10492179999982909
left_hand,3967,0.25565499999993335
left_hand,4031,0.13209769999957643
left_hand,4095,0.03774220000013884
left_hand,4095,0.19477100000040082
left_hand,4159,0.0702568999995492
left_hand,4159,0.22922689999995782
left_hand,4223,0.13298810000014782
left_hand,4223,0.27196340000045893
right_hand,4287,0.1656302000001233
right_hand,4351,0.053904700000202865
right_hand,4351,0.20998250000047847
right_hand,4415,0.10084880000067642
right_hand,4415,0.2527958000000581
left_hand,4479,0.14702020000004268
left_hand,4543,0.04083549999995739
right_hand,4543,0.18048340000041208
left_hand,4607,0.08479739999984304
right_hand,4607,0.24146360000031564
left_hand,4671,0.11670109999977285
left_hand,4671,0.2728882000001249
left_hand,4735,0.17769509999925504
left_hand,4799,0.05359130000033474
right_hand,4799,0.20858720000069297
left_hand,4863,0.12143079999987094
left_hand,4863,0.2560577000003832
left_hand,4927,0.14916420000008657
left_hand,4991,0.05669229999966774
left_hand,4991,0.19807779999973718
left_hand,5055,0.09988260000045557
left_hand,5055,0.25957610000023124
left_hand,5119,0.13290090000009513
right_hand,5183,0.040073900000606955
right_hand,5183,0.18048130000079254
left_hand,5247,0.07077570000001288
left_hand,5247,0.22402060000058555
left_hand,5311,0.1165856999996322
left_hand,5311,0.27136049999990064
left_hand,5375,0.16818750000038563
left_hand,5439,0.054653899999721034
left_hand,5439,0.2116465999997672
left_hand,5503,0.09895649999998568
left_hand,5503,0.24299969999992754
left_hand,5567,0.14716859999953158
right_hand,5631,0.03993979999995645
right_hand,5631,0.19514219999928173
left_hand,5695,0.08687920000011218
right_hand,5695,0.227981600000021
left_hand,5759,0.1363971999999194
right_hand,5759,0.27456849999998667
right_hand,5823,0.1632657999998628
right_hand,5887,0.06893920000038634
left_hand,5887,0.20986679999987246
right_hand,5951,0.1010061000006317
right_hand,5951,0.25858620000053634
right_hand,6015,0.14881839999998192
right_hand,6079,0.03989949999959208
right_hand,6079,0.1946712999997544
left_hand,6143,0.08443170000009559
right_hand,6143,0.24176389999956882
left_hand,6207,0.1301064999997834
left_hand,6207,0.2873381999997946
left_hand,6271,0.18518760000006296
left_hand,6335,0.06970300000011775
left_hand,6335,0.22891859999981534
left_hand,6399,0.11667709999983344
left_hand,6399,0.27380360000006476
left_hand,6463,0.16227399999934278
left_hand,6527,0.05437389999951847
left_hand,6527,0.2098043999994843
left_hand,6591,0.08430539999972098
left_hand,6591,0.24151679999977205
left_hand,6655,0.14772509999966132
left_hand,6655,0.2895018999997774
left_hand,6719,0.18069349999950646
left_hand,6783,0.08566049999990355
right_hand,6783,0.22717330000068614
right_hand,6847,0.13107290000061766
left_hand,6847,0.29127100000005157
left_hand,6911,0.1619485999999597
right_hand,6975,0.07052629999998317
right_hand,6975,0.21376169999984995
right_hand,7039,0.10294859999976325
left_hand,7039,0.2434611999997287
right_hand,7103,0.14948270000058983
right_hand,7167,0.05338179999944259
right_hand,7167,0.19342969999979687
right_hand,7231,0.08555380000052537
right_hand,7231,0.2284097000001566
right_hand,7295,0.13164959999994608
right_hand,7295,0.29004559999975754
right_hand,7359,0.16333949999989272
right_hand,7423,0.07398029999967548
right_hand,7423,0.22600859999965905
right_hand,7487,0.11927180000020599
right_hand,7487,0.2734731999998985
right_hand,7551,0.15044480000051408
right_hand,7615,0.05509470000015426
right_hand,7615,0.2154725000000326
right_hand,7679,0.10224399999970046
right_hand,7679,0.2582714999998643
left_hand,7743,0.13185539999994944
left_hand,7807,0.04108009999981732
left_hand,7807,0.19615429999976186
left_hand,7871,0.06863969999994879
left_hand,7871,0.22608889999992243
left_hand,7935,0.1356424000005063
left_hand,7935,0.27088820000062697
left_hand,7999,0.164034399999764
left_hand,8063,0.05663329999970301
left_hand,8063,0.2115803999995478
left_hand,8127,0.10582500000055006
left_hand,8127,0.26098350000029313
left_hand,8191,0.1477363999993031
left_hand,8255,0.03749080000034155
left_hand,8255,0.19750480000038806
left_hand,8319,0.10415809999994963
left_hand,8319,0.24183290000019042
left_hand,8383,0.13950629999999364
left_hand,8383,0.2756310000004305
left_hand,8447,0.18670000000020082
left_hand,8511,0.07179339999947842
left_hand,8511,0.2235127999992983
left_hand,8575,0.1179627999999866
left_hand,8575,0.2566194999999425
left_hand,8639,0.162463900000148
right_hand,8703,0.03983470000002853
right_hand,8703,0.1950419000004331
left_hand,8767,0.10659119999945688
left_hand,8767,0.2427545000000464
left_hand,8831,0.15122489999976096
right_hand,8831,0.290975900000376
right_hand,8895,0.18226340000001073
left_hand,8959,0.08528099999966798
right_hand,8959,0.22363489999952435
right_hand,9023,0.11895060000006197
right_hand,9023,0.2742539000000761
right_hand,9087,0.16213429999970685
right_hand,9151,0.057806499999969674
right_hand,9151,0.21009000000049127
right_hand,9215,0.10014959999989514
right_hand,9215,0.25983110000015586
right_hand,9279,0.14771659999951225
left_hand,9343,0.03769949999968958
right_hand,9343,0.19917420000001584
right_hand,9407,0.08829659999992145
left_hand,9407,0.24178109999957087
right_hand,9471,0.1315385999996579
left_hand,9471,0.27543429999968794
left_hand,9535,0.1787758999998914
left_hand,9599,0.05268149999938032
left_hand,9599,0.21001129999967816
left_hand,9663,0.10292889999982435
right_hand,9663,0.2534029999997074
right_hand,9727,0.1649824999994962
left_hand,9791,0.04205349999938335
left_hand,9791,0.19678669999939302
left_hand,9855,0.09948439999971015
left_hand,9855,0.2388786000001346
left_hand,9919,0.13094139999975596
left_hand,9983,0.0400379000002431
left_hand,9983,0.1781357999998363
left_hand,10047,0.07293979999940348
left_hand,10047,0.22595589999946242
left_hand,10111,0.11372930000015913
left_hand,10111,0.2710049999996045
left_hand,10175,0.14847250000002532
left_hand,10239,0.06035799999972369
left_hand,10239,0.2129224999998769
left_hand,10303,0.10015540000040346
left_hand,10303,0.2437039000005825
left_hand,10367,0.14844989999983227
left_hand,10431,0.041124999999738066
left_hand,10431,0.19551570000021457
left_hand,10495,0.07117839999955322
right_hand,10495,0.22714479999922332
left_hand,10559,0.13743189999968308
left_hand,10559,0.27477110000018
left_hand,10623,0.1822492000001148
right_hand,10687,0.057368599999790604
right_hand,10687,0.2132532000005085
left_hand,10751,0.11636100000032457
left_hand,10751,0.25501810000059777
left_hand,10815,0.14753660000042146
