sample,prediction,p_left_raw,p_right_raw,name ,integrator,threshold
4159,left_hand,0.922581136226654,0.07741885632276535,IntegradorFuga,-4.024220392107964,1.0
4223,left_hand,0.8992146253585815,0.10078539699316025,IntegradorFuga,-3.92318657040596,1.0
4287,left_hand,0.8863864541053772,0.1136135384440422,IntegradorFuga,-3.89482993632555,1.0
4351,left_hand,0.8949359655380249,0.10506405681371689,IntegradorFuga,-3.953775018453598,1.0
4415,left_hand,0.9153779745101929,0.08462205529212952,IntegradorFuga,-4.036992251873016,1.0
4479,left_hand,0.8597304224967957,0.14026959240436554,IntegradorFuga,-3.9112908020615578,1.0
4543,left_hand,0.730100691318512,0.2698993384838104,IntegradorFuga,-3.573062926530838,1.0
4607,left_hand,0.7806417942047119,0.21935823559761047,IntegradorFuga,-3.3615735694766045,1.0
4671,left_hand,0.5970028042793274,0.4029971659183502,IntegradorFuga,-2.7657072991132736,1.0
4735,left_hand,0.3220653831958771,0.6779346466064453,IntegradorFuga,-1.579082116484642,1.0
4799,,0.3080505132675171,0.6919494867324829,IntegradorFuga,-0.4757223129272461,1.0
4863,,0.4545596241950989,0.5454403758049011,IntegradorFuga,-0.3003625214099883,1.0
4927,,0.4504143297672272,0.5495856404304504,IntegradorFuga,0.5354521393775941,1.0
4991,,0.7350543141365051,0.2649456858634949,IntegradorFuga,0.8951638102531434,1.0
5055,,0.7426877021789551,0.25731226801872253,IntegradorFuga,0.41363078355789185,1.0
5119,,0.6135596036911011,0.3864404261112213,IntegradorFuga,-0.6789203941822052,1.0
5183,left_hand,0.617243230342865,0.3827567398548126,IntegradorFuga,-1.8968388140201569,1.0
5247,left_hand,0.7504323124885559,0.2495676875114441,IntegradorFuga,-1.9179543554782867,1.0
5311,left_hand,0.8145158290863037,0.18548418581485748,IntegradorFuga,-2.0768773704767227,1.0
5375,left_hand,0.6146507859230042,0.38534921407699585,IntegradorFuga,-1.8208035081624985,1.0
5439,left_hand,0.5324158072471619,0.4675842523574829,IntegradorFuga,-1.6585158854722977,1.0
5503,left_hand,0.37201881408691406,0.6279811859130859,IntegradorFuga,-1.1680670231580734,1.0
5567,,0.37334173917770386,0.6266582608222961,IntegradorFuga,-0.4138858765363693,1.0
5631,,0.4676836431026459,0.5323163866996765,IntegradorFuga,-0.0341073662042618,1.0
5695,,0.5483495593070984,0.4516504406929016,IntegradorFuga,0.41238096356391907,1.0
5759,,0.5103235840797424,0.48967641592025757,IntegradorFuga,0.7689463138580322,1.0
5823,,0.5909885764122009,0.4090114235877991,IntegradorFuga,0.6875721395015717,1.0
5887,,0.587437629699707,0.4125623404979706,IntegradorFuga,0.17800615429878242,1.0
5951,,0.5754651427268982,0.4245349168777466,IntegradorFuga,-0.5471228003501891,1.0
6015,left_hand,0.64713054895401,0.3528694808483124,IntegradorFuga,-1.2698137044906614,1.0
6079,,0.5549014806747437,0.44509851932525635,IntegradorFuga,-0.9118466973304749,1.0
6143,left_hand,0.5220575928688049,0.47794243693351746,IntegradorFuga,-1.5858313977718352,1.0
6207,,0.48645639419555664,0.5135436654090881,IntegradorFuga,-0.5720221400260925,1.0
6271,,0.525650143623352,0.47434988617897034,IntegradorFuga,-0.9444143116474152,1.0
6335,left_hand,0.4999639689922333,0.5000360608100891,IntegradorFuga,-1.0224733233451844,1.0
6399,,0.5658096075057983,0.43419039249420166,IntegradorFuga,-0.19987526535987854,1.0
6463,,0.5905216932296753,0.4094783067703247,IntegradorFuga,-0.4366787612438202,1.0
6527,,0.5237072110176086,0.47629275918006897,IntegradorFuga,-0.747983980178833,1.0
6591,left_hand,0.5315349102020264,0.46846508979797363,IntegradorFuga,-1.071058762073517,1.0
6655,,0.7129493951797485,0.28705063462257385,IntegradorFuga,-0.8490456342697144,1.0
6719,left_hand,0.5969159603118896,0.40308403968811035,IntegradorFuga,-1.6603039741516112,1.0
6783,,0.500406801700592,0.49959319829940796,IntegradorFuga,-0.7310285568237305,1.0
6847,left_hand,0.5519039630889893,0.44809600710868835,IntegradorFuga,-1.418450617790222,1.0
6911,,0.4127565920352936,0.5872434377670288,IntegradorFuga,-0.5498653948307037,1.0
6975,,0.399008572101593,0.600991427898407,IntegradorFuga,-0.37184917330741885,1.0
7039,,0.391377329826355,0.6086227297782898,IntegradorFuga,0.21724436879158016,1.0
7103,,0.48351171612739563,0.5164883136749268,IntegradorFuga,0.6401281118392944,1.0
7167,,0.733624279499054,0.26637569069862366,IntegradorFuga,0.6995712220668793,1.0
7231,,0.6821593642234802,0.3178406059741974,IntegradorFuga,0.22020872831344596,1.0
7295,,0.6305833458900452,0.36941665410995483,IntegradorFuga,-0.7223033130168915,1.0
7359,left_hand,0.9340923428535461,0.06590769439935684,IntegradorFuga,-2.550245402753353,1.0
7423,left_hand,0.9208219647407532,0.07917798310518265,IntegradorFuga,-2.8025626689195633,1.0
7487,left_hand,0.9529182314872742,0.04708173871040344,IntegradorFuga,-3.2411505728960037,1.0
7551,left_hand,0.9459268450737,0.054073184728622437,IntegradorFuga,-3.7686854749917984,1.0
7615,left_hand,0.9623200297355652,0.03768002614378929,IntegradorFuga,-4.432158786803484,1.0
7679,left_hand,0.965893030166626,0.034106943756341934,IntegradorFuga,-4.495760224759579,1.0
7743,left_hand,0.9628855586051941,0.03711439296603203,IntegradorFuga,-4.57988740876317,1.0
7807,left_hand,0.9705130457878113,0.029486950486898422,IntegradorFuga,-4.615077011287212,1.0
7871,left_hand,0.981847882270813,0.01815207488834858,IntegradorFuga,-4.686919158324599,1.0
