sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
4159,left_hand,0.922581136226654,0.07741885632276535,MediaProbabilidades,0.9024220466613769,0.09757796823978424,5
4223,left_hand,0.8992146253585815,0.10078539699316025,MediaProbabilidades,0.8923186659812927,0.10768135190010071,5
4287,left_hand,0.8863864541053772,0.1136135384440422,MediaProbabilidades,0.8894829988479614,0.1105170115828514,5
4351,left_hand,0.8949359655380249,0.10506405681371689,MediaProbabilidades,0.8953775048255921,0.10462250113487244,5
4415,left_hand,0.9153779745101929,0.08462205529212952,MediaProbabilidades,0.9036992311477661,0.09630078077316284,5
4479,left_hand,0.8597304224967957,0.14026959240436554,MediaProbabilidades,0.8911290884017944,0.10887092798948288,5
4543,left_hand,0.730100691318512,0.2698993384838104,MediaProbabilidades,0.8573063015937805,0.1426937162876129,5
4607,left_hand,0.7806417942047119,0.21935823559761047,MediaProbabilidades,0.8361573696136475,0.16384265571832657,5
4671,left_hand,0.5970028042793274,0.4029971659183502,MediaProbabilidades,0.776570737361908,0.22342927753925323,5
4735,left_hand,0.3220653831958771,0.6779346466064453,MediaProbabilidades,0.6579082190990448,0.3420917958021164,5
4799,left_hand,0.3080505132675171,0.6919494867324829,MediaProbabilidades,0.547572237253189,0.45242777466773987,5
4863,right_hand,0.4545596241950989,0.5454403758049011,MediaProbabilidades,0.49246402382850646,0.507535982131958,5
4927,right_hand,0.4504143297672272,0.5495856404304504,MediaProbabilidades,0.4264185309410095,0.573581463098526,5
4991,right_hand,0.7350543141365051,0.2649456858634949,MediaProbabilidades,0.45402883291244506,0.5459711670875549,5
5055,left_hand,0.7426877021789551,0.25731226801872253,MediaProbabilidades,0.5381532967090606,0.4618466913700104,5
5119,left_hand,0.6135596036911011,0.3864404261112213,MediaProbabilidades,0.5992551147937775,0.4007448792457581,5
5183,left_hand,0.617243230342865,0.3827567398548126,MediaProbabilidades,0.6317918360233307,0.36820815205574037,5
5247,left_hand,0.7504323124885559,0.2495676875114441,MediaProbabilidades,0.6917954325675965,0.3082045614719391,5
