sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
4159,left_hand,0.922581136226654,0.07741885632276535,ExponentialSmoothing,0.922581136226654,0.07741885632276535,0.85,0.75
4223,left_hand,0.8992146253585815,0.10078539699316025,ExponentialSmoothing,0.9190761595964432,0.08092383742332458,0.85,0.75
4287,left_hand,0.8863864541053772,0.1136135384440422,ExponentialSmoothing,0.9141727037727833,0.08582729257643222,0.85,0.75
4351,left_hand,0.8949359655380249,0.10506405681371689,ExponentialSmoothing,0.9112871930375694,0.08871280721202492,0.85,0.75
4415,left_hand,0.9153779745101929,0.08462205529212952,ExponentialSmoothing,0.9119008102584629,0.0880991944240406,0.85,0.75
4479,left_hand,0.8597304224967957,0.14026959240436554,ExponentialSmoothing,0.9040752520942128,0.09592475412108935,0.85,0.75
4543,left_hand,0.730100691318512,0.2698993384838104,ExponentialSmoothing,0.8779790679778577,0.12202094177549751,0.85,0.75
4607,left_hand,0.7806417942047119,0.21935823559761047,ExponentialSmoothing,0.8633784769118859,0.13662153584881445,0.85,0.75
4671,left_hand,0.5970028042793274,0.4029971659183502,ExponentialSmoothing,0.823422126017002,0.17657788035924482,0.85,0.75
4735,rest,0.3220653831958771,0.6779346466064453,ExponentialSmoothing,0.7482186145938332,0.2517813952963249,0.85,0.75
4799,rest,0.3080505132675171,0.6919494867324829,ExponentialSmoothing,0.6821933993948858,0.3178066090117486,0.85,0.75
4863,rest,0.4545596241950989,0.5454403758049011,ExponentialSmoothing,0.6480483331149177,0.35195167403072153,0.85,0.75
4927,rest,0.4504143297672272,0.5495856404304504,ExponentialSmoothing,0.6184032326127642,0.38159676899068085,0.85,0.75
4991,rest,0.7350543141365051,0.2649456858634949,ExponentialSmoothing,0.6359008948413253,0.364099106521603,0.85,0.75
5055,rest,0.7426877021789551,0.25731226801872253,ExponentialSmoothing,0.6519189159419698,0.34808108074617095,0.85,0.75
5119,rest,0.6135596036911011,0.3864404261112213,ExponentialSmoothing,0.6461650191043395,0.3538349825509285,0.85,0.75
5183,rest,0.617243230342865,0.3827567398548126,ExponentialSmoothing,0.6418267507901183,0.3581732461465111,0.85,0.75
5247,rest,0.7504323124885559,0.2495676875114441,ExponentialSmoothing,0.6581175850448839,0.34188241235125105,0.85,0.75
5311,rest,0.8145158290863037,0.18548418581485748,ExponentialSmoothing,0.681577321651097,0.318422678370792,0.85,0.75
5375,rest,0.6146507859230042,0.38534921407699585,ExponentialSmoothing,0.6715383412918831,0.32846165872672256,0.85,0.75
5439,rest,0.5324158072471619,0.4675842523574829,ExponentialSmoothing,0.6506699611851748,0.3493300477713366,0.85,0.75
5503,rest,0.37201881408691406,0.6279811859130859,ExponentialSmoothing,0.6088722891204357,0.391127718492599,0.85,0.75
5567,rest,0.37334173917770386,0.6266582608222961,ExponentialSmoothing,0.5735427066290258,0.42645729984205355,0.85,0.75
5631,rest,0.4676836431026459,0.5323163866996765,ExponentialSmoothing,0.5576638471000689,0.442336162870697,0.85,0.75
5695,rest,0.5483495593070984,0.4516504406929016,ExponentialSmoothing,0.5562667039311233,0.4437333045440277,0.85,0.75
5759,rest,0.5103235840797424,0.48967641592025757,ExponentialSmoothing,0.5493752359534162,0.4506247712504622,0.85,0.75
5823,rest,0.5909885764122009,0.4090114235877991,ExponentialSmoothing,0.5556172370222339,0.4443827691010627,0.85,0.75
5887,rest,0.587437629699707,0.4125623404979706,ExponentialSmoothing,0.5603902959238549,0.4396097048105989,0.85,0.75
5951,rest,0.5754651427268982,0.4245349168777466,ExponentialSmoothing,0.5626515229443114,0.43734848662067105,0.85,0.75
6015,rest,0.64713054895401,0.3528694808483124,ExponentialSmoothing,0.5753233768457662,0.42467663575481723,0.85,0.75
6079,rest,0.5549014806747437,0.44509851932525635,ExponentialSmoothing,0.5722600924201128,0.42773991829038305,0.85,0.75
6143,rest,0.5220575928688049,0.47794243693351746,ExponentialSmoothing,0.5647297174874166,0.43527029608685325,0.85,0.75
6207,rest,0.48645639419555664,0.5135436654090881,ExponentialSmoothing,0.5529887189936377,0.4470113014851885,0.85,0.75
6271,rest,0.525650143623352,0.47434988617897034,ExponentialSmoothing,0.5488879326880948,0.45111208918925577,0.85,0.75
6335,rest,0.4999639689922333,0.5000360608100891,ExponentialSmoothing,0.5415493381337155,0.4584506849323808,0.85,0.75
6399,rest,0.5658096075057983,0.43419039249420166,ExponentialSmoothing,0.545188378539528,0.45481164106665395,0.85,0.75
6463,rest,0.5905216932296753,0.4094783067703247,ExponentialSmoothing,0.55198837574305,0.4480116409222046,0.85,0.75
6527,rest,0.5237072110176086,0.47629275918006897,ExponentialSmoothing,0.5477462010342338,0.45225380866088427,0.85,0.75
6591,rest,0.5315349102020264,0.46846508979797363,ExponentialSmoothing,0.5453145074094027,0.45468550083144765,0.85,0.75
6655,rest,0.7129493951797485,0.28705063462257385,ExponentialSmoothing,0.5704597405749545,0.4295402709001166,0.85,0.75
6719,rest,0.5969159603118896,0.40308403968811035,ExponentialSmoothing,0.5744281735354948,0.4255718362183157,0.85,0.75
6783,rest,0.500406801700592,0.49959319829940796,ExponentialSmoothing,0.5633249677602594,0.4366750405304795,0.85,0.75
6847,rest,0.5519039630889893,0.44809600710868835,ExponentialSmoothing,0.5616118170595689,0.43838818551721087,0.85,0.75
6911,rest,0.4127565920352936,0.5872434377670288,ExponentialSmoothing,0.5392835333059276,0.4607164733546836,0.85,0.75
6975,rest,0.399008572101593,0.600991427898407,ExponentialSmoothing,0.5182422891252774,0.4817577165362421,0.85,0.75
