time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444236.0389776037,177792.609375,179733.921875,176502.703125,205651.03125,181075.5,200912.671875,175808.40625,171734.234375,178101.65625,180697.375,197100.21875,188629.5,189833.953125,208093.859375,209696.984375,192718.421875,9.905696868896484,0.1912296712398529,-0.11473781615495682,1.0,51.0
444236.04297495546,177789.1875,179751.859375,176496.390625,205674.703125,181069.09375,200939.96875,175806.59375,171727.15625,178094.6875,180708.4375,197128.25,188641.96875,189857.953125,208120.578125,209723.90625,192742.734375,9.905696868896484,0.1912296712398529,-0.11473781615495682,1.0,51.0
444236.0469723073,177790.765625,179745.59375,176510.75,205671.546875,181086.125,200938.96875,175803.078125,171743.25,178112.796875,180712.765625,197125.828125,188639.453125,189855.171875,208119.0,209721.75,192739.3125,9.905696868896484,0.1912296712398529,-0.11473781615495682,1.0,51.0
444236.0509696593,177794.84375,179723.421875,176524.859375,205644.9375,181101.75,200910.5625,175802.609375,171759.140625,178129.484375,180703.671875,197095.296875,188624.96875,189828.890625,208091.75,209693.390625,192711.421875,9.905696868896484,0.1912296712398529,-0.11473781615495682,1.0,51.0
444236.0549670114,177796.421875,179715.34375,176520.234375,205630.75,181094.46875,200893.296875,175805.484375,171754.140625,178122.78125,180694.015625,197077.59375,188618.03125,189814.53125,208076.984375,209678.203125,192695.859375,9.905696868896484,0.1912296712398529,-0.11473781615495682,1.0,51.0
444236.05896436353,177793.046875,179732.578125,176502.0625,205648.25,181074.328125,200911.375,175807.03125,171734.296875,178101.265625,180697.40625,197097.140625,188627.828125,189832.109375,208096.671875,209697.921875,192712.859375,9.867450714111328,0.22947563230991364,-0.11473781615495682,1.0,51.0
444236.0629617158,177789.1875,179750.25,176495.59375,205671.859375,181068.71875,200938.65625,175805.1875,171726.75,178094.359375,180708.5625,197125.4375,188639.859375,189855.84375,208124.125,209724.8125,192736.640625,9.867450714111328,0.22947563230991364,-0.11473781615495682,1.0,51.0
444236.0669590682,177790.328125,179743.90625,176509.90625,205668.703125,181086.53125,200937.546875,175802.8125,171742.984375,178112.5625,180711.921875,197122.953125,188637.171875,189852.71875,208122.515625,209722.625,192733.453125,9.867450714111328,0.22947563230991364,-0.11473781615495682,1.0,51.0
444236.0709564207,177794.65625,179721.453125,176524.421875,205642.421875,181102.421875,200909.09375,175803.609375,171759.140625,178129.765625,180702.40625,197092.03125,188622.5,189826.140625,208094.390625,209694.5,192706.125,9.867450714111328,0.22947563230991364,-0.11473781615495682,1.0,51.0
444236.07495377323,177796.03125,179712.734375,176519.703125,205627.828125,181095.109375,200891.125,175806.421875,171753.640625,178122.953125,180691.734375,197073.4375,188614.875,189811.1875,208077.9375,209678.640625,192690.5,9.867450714111328,0.22947563230991364,-0.11473781615495682,1.0,51.0
444236.0789511259,177791.96875,179729.0,176500.71875,205643.890625,181071.9375,200907.640625,175807.0,171732.984375,178100.125,180692.578125,197091.5625,188623.734375,189827.40625,208095.734375,209696.8125,192707.234375,9.905696868896484,0.22947563230991364,-0.1912296712398529,1.0,51.0
444236.0829484787,177788.171875,179747.703125,176494.890625,205668.171875,181066.84375,200935.4375,175804.484375,171726.3125,178094.125,180704.578125,197120.5625,188636.8125,189852.078125,208123.1875,209724.109375,192732.90625,9.905696868896484,0.22947563230991364,-0.1912296712398529,1.0,51.0
444236.0869458316,177789.3125,179742.875,176510.40625,205666.359375,181086.125,200935.4375,175802.84375,171743.890625,178113.46875,180710.28125,197119.328125,188635.5,189850.546875,208122.515625,209722.21875,192731.328125,9.905696868896484,0.22947563230991364,-0.1912296712398529,1.0,51.0
444236.09094318456,177793.671875,179721.421875,176525.828125,205640.8125,181102.890625,200907.71875,175804.546875,171760.75,178131.140625,180701.53125,197089.59375,188621.59375,189824.65625,208094.796875,209693.796875,192704.578125,9.905696868896484,0.22947563230991364,-0.1912296712398529,1.0,51.0
444236.09494053765,177795.453125,179711.21875,176519.5625,205624.3125,181095.25,200887.96875,175805.328125,171752.5,178121.90625,180688.453125,197069.90625,188612.40625,189808.0,208075.921875,209675.21875,192687.109375,9.905696868896484,0.22947563230991364,-0.1912296712398529,1.0,51.0
444236.09893783845,177791.9375,179728.421875,176501.625,205641.203125,181074.125,200905.296875,175805.09375,171731.625,178099.546875,180691.265625,197088.921875,188621.71875,189824.484375,208093.25,209693.21875,192704.40625,9.905696868896484,0.22947563230991364,-0.11473781615495682,1.0,51.0
