sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
3978,left_hand,0.9979574680328369,0.0020425256807357073,ExponentialSmoothing,0.9979574680328369,0.0020425256807357073,0.85,0.75
4028,left_hand,0.9936331510543823,0.00636680331081152,ExponentialSmoothing,0.9973088204860687,0.0026911673252470792,0.85,0.75
4053,left_hand,0.97988361120224,0.02011643350124359,ExponentialSmoothing,0.9946950390934943,0.005304957251646557,0.85,0.75
4103,left_hand,0.960812509059906,0.039187539368867874,ExponentialSmoothing,0.989612659588456,0.010387344569229755,0.85,0.75
4128,left_hand,0.9337244033813477,0.06627564132213593,ExponentialSmoothing,0.9812294211573898,0.01877058908216568,0.85,0.75
4153,left_hand,0.9792917370796204,0.020708268508315086,ExponentialSmoothing,0.9809387685457243,0.019061240996088094,0.85,0.75
4178,left_hand,0.9869699478149414,0.013030084781348705,ExponentialSmoothing,0.9818434454361069,0.018156567563877186,0.85,0.75
4253,left_hand,0.9911313652992249,0.008868647739291191,ExponentialSmoothing,0.9832366334155745,0.016763379590189288,0.85,0.75
4278,left_hand,0.9924969673156738,0.00750309182330966,ExponentialSmoothing,0.9846256835005894,0.015374336425157344,0.85,0.75
4328,left_hand,0.9911251664161682,0.008874869905412197,ExponentialSmoothing,0.9856006059379262,0.01439941644719557,0.85,0.75
4353,left_hand,0.9936723709106445,0.006327637936919928,ExponentialSmoothing,0.986811370683834,0.013188649670654225,0.85,0.75
4403,left_hand,0.9909896850585938,0.00901027675718069,ExponentialSmoothing,0.987438117840048,0.012561893733633195,0.85,0.75
4428,left_hand,0.9894383549690247,0.010561609640717506,ExponentialSmoothing,0.9877381534093945,0.012261851119695842,0.85,0.75
4453,left_hand,0.9820522665977478,0.017947709187865257,ExponentialSmoothing,0.9868852703876476,0.013114729829921255,0.85,0.75
4503,left_hand,0.9470604658126831,0.05293957516551018,ExponentialSmoothing,0.9809115497014029,0.01908845663025959,0.85,0.75
4553,left_hand,0.9071378707885742,0.0928620770573616,ExponentialSmoothing,0.9698454978644786,0.030154499694324894,0.85,0.75
4578,left_hand,0.8594430685043335,0.1405569314956665,ExponentialSmoothing,0.9532851334604568,0.046714864464526135,0.85,0.75
4603,left_hand,0.908731997013092,0.09126794338226318,ExponentialSmoothing,0.9466021629933521,0.053397826302186695,0.85,0.75
4653,left_hand,0.8002170920372009,0.19978292286396027,ExponentialSmoothing,0.9246444023499294,0.07535559078645274,0.85,0.75
4703,left_hand,0.6806806921958923,0.31931930780410767,ExponentialSmoothing,0.8880498458268239,0.11195014833910098,0.85,0.75
4728,left_hand,0.6799730658531189,0.3200269639492035,ExponentialSmoothing,0.8568383288307682,0.14316167068061636,0.85,0.75
4778,left_hand,0.7137572765350342,0.28624269366264343,ExponentialSmoothing,0.835376170986408,0.16462382412792043,0.85,0.75
4803,left_hand,0.757170557975769,0.24282942712306976,ExponentialSmoothing,0.8236453290348121,0.17635466457719284,0.85,0.75
4853,rest,0.23062437772750854,0.7693756222724915,ExponentialSmoothing,0.7346921863387166,0.26530780823148764,0.85,0.75
4878,rest,0.07834669947624207,0.9216532707214355,ExponentialSmoothing,0.6362403633093454,0.3637596276049798,0.85,0.75
4928,rest,0.011791098862886429,0.9882088899612427,ExponentialSmoothing,0.5425729736423766,0.45742701695841925,0.85,0.75
4953,rest,0.005233131814748049,0.9947668313980103,ExponentialSmoothing,0.46197199736823225,0.5380279891243579,0.85,0.75
4978,rest,0.0032514496706426144,0.9967485666275024,ExponentialSmoothing,0.3931639152135938,0.6068360757498296,0.85,0.75
5028,rest,0.0011992364889010787,0.9988007545471191,ExponentialSmoothing,0.33436921340488984,0.665630777569423,0.85,0.75
