prediction,sample,delay
left_hand,3839,0.31157989999974234
left_hand,3903,0.14145049999979165
left_hand,3903,0.21162120000008144
left_hand,3903,0.2806154999998398
left_hand,3967,0.15670240000008562
left_hand,4031,0.061512799999945855
left_hand,4031,0.21998749999966094
left_hand,4095,0.11308109999981752
left_hand,4095,0.24980039999991277
left_hand,4159,0.15425690000029135
left_hand,4223,0.049102400000265334
left_hand,4223,0.19115430000010747
left_hand,4287,0.09331979999979012
left_hand,4287,0.23245349999979226
left_hand,4351,0.14711239999996906
left_hand,4351,0.29635629999984303
left_hand,4415,0.1754728000000796
left_hand,4479,0.07983400000011898
left_hand,4479,0.2304274000002806
left_hand,4543,0.11049430000002758
left_hand,4543,0.2497404999999162
left_hand,4607,0.15529130000004443
left_hand,4671,0.062405499999840686
left_hand,4671,0.20373539999991408
left_hand,4735,0.0982797000001483
left_hand,4735,0.2500601000001552
left_hand,4799,0.1453401000003396
left_hand,4863,0.046108900000035646
left_hand,4863,0.18836959999998726
left_hand,4927,0.07790119999981471
left_hand,4927,0.24551040000005742
left_hand,4991,0.1272475000000668
left_hand,4991,0.2642602999999326
left_hand,5055,0.17441509999980553
left_hand,5119,0.06707510000023831
left_hand,5119,0.20542969999996785
left_hand,5183,0.11012669999990976
left_hand,5183,0.24893380000003162
left_hand,5247,0.15106780000041908
left_hand,5311,0.04767360000005283
left_hand,5311,0.1906808000003366
left_hand,5375,0.08108919999995123
left_hand,5375,0.23896279999962644
left_hand,5439,0.13048380000009274
left_hand,5439,0.28192889999991166
left_hand,5503,0.17376530000001367
left_hand,5567,0.073941300000115
left_hand,5567,0.21832320000021355
left_hand,5631,0.11186020000013741
left_hand,5631,0.2675260999999409
left_hand,5695,0.16062060000012934
left_hand,5759,0.06116679999968255
left_hand,5759,0.1990310999999565
left_hand,5823,0.09287820000008651
left_hand,5823,0.252764599999864
left_hand,5887,0.14043530000026294
left_hand,5887,0.2813037999999324
left_hand,5951,0.18653079999967304
left_hand,6015,0.08216659999970943
left_hand,6015,0.22399199999972552
left_hand,6079,0.10867189999999027
left_hand,6079,0.2636004999999386
left_hand,6143,0.17679230000021562
left_hand,6207,0.05290899999999965
left_hand,6207,0.20377250000001368
left_hand,6271,0.10813229999985197
left_hand,6271,0.2615870999998151
right_hand,6335,0.15641409999989264
right_hand,6399,0.05289660000016738
right_hand,6399,0.18470639999986815
right_hand,6463,0.08679959999972198
right_hand,6463,0.23143899999968198
right_hand,6527,0.13793110000005981
right_hand,6527,0.27647099999967395
right_hand,6591,0.18018100000017512
right_hand,6655,0.06908169999996971
right_hand,6655,0.21564159999979893
left_hand,6719,0.10966229999985444
left_hand,6719,0.2679785999998785
left_hand,6783,0.1476665000000139
left_hand,6847,0.045539000000189844
left_hand,6847,0.200576700000056
left_hand,6911,0.1044939999997041
left_hand,6911,0.24561239999957252
left_hand,6975,0.14182469999968816
left_hand,6975,0.28874739999992016
left_hand,7039,0.19313340000007884
left_hand,7103,0.07932799999980489
left_hand,7103,0.22655619999977716
left_hand,7167,0.13474960000030478
left_hand,7167,0.29680980000011914
right_hand,7231,0.17748160000019197
left_hand,7295,0.16142339999987598
left_hand,7295,0.19691830000010668
left_hand,7359,0.10317329999998037
left_hand,7359,0.24815340000031938
left_hand,7423,0.1324811999998019
left_hand,7423,0.2795083999999406
left_hand,7487,0.19146970000019792
left_hand,7551,0.07501539999975648
left_hand,7551,0.21479179999960252
left_hand,7615,0.12870240000029298
left_hand,7615,0.2783900000003996
left_hand,7679,0.1654100999999173
left_hand,7743,0.05727759999990667
left_hand,7743,0.1999399999999696
left_hand,7807,0.10497460000033243
left_hand,7807,0.26000180000028195
left_hand,7871,0.15212430000019594
left_hand,7935,0.041094000000157394
left_hand,7935,0.18224360000021989
left_hand,7999,0.08613629999990735
left_hand,7999,0.22721580000006725
left_hand,8063,0.1323128999997607
left_hand,8063,0.2940678999998454
left_hand,8127,0.1642851999999948
left_hand,8191,0.07060759999967559
left_hand,8191,0.2079449999996541
left_hand,8255,0.10546840000006341
left_hand,8255,0.25810709999996106
left_hand,8319,0.1658066999998482
left_hand,8383,0.041524699999627046
left_hand,8383,0.19779010000002017
left_hand,8447,0.10501250000015716
left_hand,8447,0.2497176000001673
left_hand,8511,0.14978879999989658
left_hand,8511,0.29282569999986663
left_hand,8575,0.1843626999998378
left_hand,8639,0.08709689999977854
left_hand,8639,0.2298081999997521
left_hand,8703,0.11783520000017234
left_hand,8703,0.26348440000037954
left_hand,8767,0.17280980000032287
left_hand,8831,0.07195480000018506
left_hand,8831,0.2357542999998259
left_hand,8895,0.12113589999989927
left_hand,8895,0.26217570000017076
left_hand,8959,0.1753953000002184
left_hand,8959,0.30554250000022876
left_hand,9023,0.18150789999981498
left_hand,9087,0.07167389999995066
left_hand,9087,0.22856869999986884
left_hand,9151,0.12387280000029932
left_hand,9151,0.27380570000013904
left_hand,9215,0.17971120000038354
left_hand,9279,0.058901500000047236
left_hand,9279,0.22152689999984432
left_hand,9343,0.11777889999984836
left_hand,9343,0.257274900000084
left_hand,9407,0.1534350000001723
left_hand,9471,0.06061730000010357
left_hand,9471,0.22150009999995746
left_hand,9535,0.09172830000034082
left_hand,9535,0.24676180000005843
left_hand,9599,0.25640999999995984
left_hand,9599,0.2830297000000428
left_hand,9663,0.18053499999996347
left_hand,9727,0.07417850000001636
left_hand,9727,0.23019090000025244
left_hand,9791,0.12138740000000325
left_hand,9791,0.27061300000013944
left_hand,9855,0.1633630000001176
left_hand,9919,0.04062479999993229
left_hand,9919,0.19630829999960042
left_hand,9983,0.10063680000030217
left_hand,9983,0.2438111999999819
left_hand,10047,0.1378791000001911
left_hand,10111,0.04373429999986911
left_hand,10111,0.1821575999997549
left_hand,10175,0.08702850000008766
left_hand,10175,0.2325749999999971
left_hand,10239,0.12079530000028171
left_hand,10239,0.2734980000000178
left_hand,10303,0.1644430999999713
left_hand,10367,0.058180300000003626
left_hand,10367,0.21006360000001223
left_hand,10431,0.1239783000000898
left_hand,10431,0.2776948999999149
left_hand,10495,0.18427770000016608
left_hand,10559,0.06148829999983718
left_hand,10559,0.2016804999998385
left_hand,10623,0.12228869999989911
left_hand,10623,0.24442920000001322
left_hand,10687,0.1333825000001525
left_hand,10687,0.2899846999998772
left_hand,10751,0.16702390000000378
left_hand,10815,0.07869679999976142
left_hand,10815,0.21624070000007123
left_hand,10879,0.11457239999981539
left_hand,10879,0.273339599999872
left_hand,10943,0.15301640000006955
left_hand,11007,0.05594780000001265
left_hand,11007,0.2032586000000265
left_hand,11071,0.10290189999977883
left_hand,11071,0.264464400000179
left_hand,11135,0.14132840000002034
left_hand,11135,0.280726500000128
left_hand,11199,0.18730169999980717
left_hand,11263,0.09789769999997588
left_hand,11263,0.2433459000003495
left_hand,11327,0.14110260000006747
left_hand,11327,0.28435570000010557
left_hand,11391,0.17780110000012428
left_hand,11455,0.06932219999998779
left_hand,11455,0.21898460000011255
left_hand,11519,0.10882730000002994
left_hand,11519,0.2632883999999649
left_hand,11583,0.15910570000005464
left_hand,11647,0.047106800000165094
left_hand,11647,0.20208779999984472
left_hand,11711,0.09879850000015722
left_hand,11711,0.2381625000002714
left_hand,11775,0.14035610000019005
left_hand,11775,0.2819104000000152
left_hand,11839,0.19735899999977846
left_hand,11903,0.07593589999987671
left_hand,11903,0.21641039999985878
left_hand,11967,0.12854830000014772
left_hand,11967,0.2819656000001487
left_hand,12031,0.17042690000016592
left_hand,12095,0.047156600000107574
left_hand,12095,0.20212309999988065
left_hand,12159,0.11593959999981962
left_hand,12159,0.2647560999998859
left_hand,12223,0.13959190000014132
left_hand,12287,0.04526399999986097
left_hand,12287,0.20592349999969883
left_hand,12351,0.08076180000034583
left_hand,12351,0.2186980000001313
